2026-04-09 20:30:54 | trip_planner | WARNING | Retrying llm.groq_client.GroqClient.invoke in 2 seconds as it raised NotFoundError: Error code: 404 - {'error': {'message': 'The model `llama3-8b-instant` does not exist or you do not have access to it.', 'type': 'invalid_request_error', 'code': 'model_not_found'}}.
2026-04-09 20:30:56 | trip_planner | WARNING | Retrying llm.groq_client.GroqClient.invoke in 2 seconds as it raised NotFoundError: Error code: 404 - {'error': {'message': 'The model `llama3-8b-instant` does not exist or you do not have access to it.', 'type': 'invalid_request_error', 'code': 'model_not_found'}}.
2026-04-09 20:30:59 | trip_planner | WARNING | [Node: Itinerary Planner] LLM failed: Error code: 404 - {'error': {'message': 'The model `llama3-8b-instant` does not exist or you do not have access to it.', 'type': 'invalid_request_error', 'code': 'model_not_found'}}
2026-04-09 20:30:59 | trip_planner | INFO | [Node: Itinerary Planner] LLM gave 0 days, filling 3 with fallback
2026-04-09 20:30:59 | trip_planner | INFO | [Node: Itinerary Planner] Returning 3 days
2026-04-09 20:30:59 | trip_planner | INFO | [Node: Transport] Starting
2026-04-09 20:30:59 | trip_planner | INFO | Tavily search: 'flights trains transport from India to Kolkata cost booking 2024 2025'
2026-04-09 20:30:59 | trip_planner | WARNING | Retrying llm.groq_client.GroqClient.invoke in 2 seconds as it raised NotFoundError: Error code: 404 - {'error': {'message': 'The model `llama3-8b-instant` does not exist or you do not have access to it.', 'type': 'invalid_request_error', 'code': 'model_not_found'}}.
2026-04-09 20:31:01 | trip_planner | WARNING | Retrying llm.groq_client.GroqClient.invoke in 2 seconds as it raised NotFoundError: Error code: 404 - {'error': {'message': 'The model `llama3-8b-instant` does not exist or you do not have access to it.', 'type': 'invalid_request_error', 'code': 'model_not_found'}}.
2026-04-09 20:31:03 | trip_planner | WARNING | [Node: Transport] LLM failed: Error code: 404 - {'error': {'message': 'The model `llama3-8b-instant` does not exist or you do not have access to it.', 'type': 'invalid_request_error', 'code': 'model_not_found'}}
2026-04-09 20:31:03 | trip_planner | INFO | [Node: Transport] Returning 3 options
2026-04-09 20:31:03 | trip_planner | INFO | [Node: Aggregator] Starting final aggregation
2026-04-09 20:31:04 | trip_planner | WARNING | Retrying llm.groq_client.GroqClient.invoke in 2 seconds as it raised NotFoundError: Error code: 404 - {'error': {'message': 'The model `llama3-8b-instant` does not exist or you do not have access to it.', 'type': 'invalid_request_error', 'code': 'model_not_found'}}.
2026-04-09 20:31:06 | trip_planner | WARNING | Retrying llm.groq_client.GroqClient.invoke in 2 seconds as it raised NotFoundError: Error code: 404 - {'error': {'message': 'The model `llama3-8b-instant` does not exist or you do not have access to it.', 'type': 'invalid_request_error', 'code': 'model_not_found'}}.
2026-04-09 20:31:08 | trip_planner | ERROR | [Node: Aggregator] Error: Error code: 404 - {'error': {'message': 'The model `llama3-8b-instant` does not exist or you do not have access to it.', 'type': 'invalid_request_error', 'code': 'model_not_found'}}
2026-04-09 20:31:08 | trip_planner | WARNING | Completed with 1 error(s): ["Aggregator Error: Error code: 404 - {'error': {'message': 'The model `llama3-8b-instant` does not exist or you do not have access to it.', 'type': 'invalid_request_error', 'code': 'model_not_found'}}"]
2026-04-09 20:31:08 | trip_planner | INFO | Trip planner workflow completed
2026-04-09 20:31:08 | trip_planner | WARNING | Plan has warnings: ["Aggregator Error: Error code: 404 - {'error': {'message': 'The model `llama3-8b-instant` does not exist or you do not have access to it.', 'type': 'invalid_request_error', 'code': 'model_not_found'}}"]
2026-04-09 20:33:32 | trip_planner | INFO | LangGraph trip planner graph (with weather node) compiled
2026-04-09 20:33:32 | trip_planner | INFO | [Node: Destination Research] Query: 'Paris'
2026-04-09 20:33:32 | trip_planner | INFO | CurrencyConverter initialized
2026-04-09 20:33:32 | trip_planner | INFO | [Node: Destination Research] Found in local DB: Paris
2026-04-09 20:33:32 | trip_planner | INFO | [Node: Currency Conversion] Starting currency setup
2026-04-09 20:33:33 | trip_planner | INFO | Fetched live rates for 166 currencies
2026-04-09 20:33:33 | trip_planner | INFO | [Node: Weather] Fetching weather data
2026-04-09 20:33:33 | trip_planner | WARNING | OPENWEATHER_API_KEY not set – weather will use Tavily fallback
2026-04-09 20:33:33 | trip_planner | INFO | Using Tavily fallback weather for Paris
2026-04-09 20:33:33 | trip_planner | INFO | TavilySearchTool initialized
2026-04-09 20:33:33 | trip_planner | INFO | Tavily search: 'current weather Paris France temperature humidity forecast today'
2026-04-09 20:33:38 | trip_planner | INFO | [Node: Weather] Complete: 14.0°C, Cloudy, 5 forecast days
2026-04-09 20:33:38 | trip_planner | INFO | [Node: Budget Planner] Starting
2026-04-09 20:33:39 | trip_planner | INFO | GroqClient initialized with llama3-8b-instant
2026-04-09 20:33:39 | trip_planner | WARNING | Retrying llm.groq_client.GroqClient.invoke in 2 seconds as it raised NotFoundError: Error code: 404 - {'error': {'message': 'The model `llama3-8b-instant` does not exist or you do not have access to it.', 'type': 'invalid_request_error', 'code': 'model_not_found'}}.
2026-04-09 20:33:41 | trip_planner | WARNING | Retrying llm.groq_client.GroqClient.invoke in 2 seconds as it raised NotFoundError: Error code: 404 - {'error': {'message': 'The model `llama3-8b-instant` does not exist or you do not have access to it.', 'type': 'invalid_request_error', 'code': 'model_not_found'}}.
2026-04-09 20:33:44 | trip_planner | WARNING | [Node: Budget Planner] LLM failed (using rule-based): Error code: 404 - {'error': {'message': 'The model `llama3-8b-instant` does not exist or you do not have access to it.', 'type': 'invalid_request_error', 'code': 'model_not_found'}}
2026-04-09 20:33:44 | trip_planner | INFO | [Node: Hotel Finder] Starting
2026-04-09 20:33:44 | trip_planner | INFO | Tavily search: 'mid-range comfortable hotels in Paris with good ratings booking.com MakeMyTrip 2...' 
2026-04-09 20:33:49 | trip_planner | WARNING | Retrying llm.groq_client.GroqClient.invoke in 2 seconds as it raised NotFoundError: Error code: 404 - {'error': {'message': 'The model `llama3-8b-instant` does not exist or you do not have access to it.', 'type': 'invalid_request_error', 'code': 'model_not_found'}}.
2026-04-09 20:33:51 | trip_planner | WARNING | Retrying llm.groq_client.GroqClient.invoke in 2 seconds as it raised NotFoundError: Error code: 404 - {'error': {'message': 'The model `llama3-8b-instant` does not exist or you do not have access to it.', 'type': 'invalid_request_error', 'code': 'model_not_found'}}.
2026-04-09 20:33:53 | trip_planner | WARNING | [Node: Hotel Finder] Tavily/LLM failed: Error code: 404 - {'error': {'message': 'The model `llama3-8b-instant` does not exist or you do not have access to it.', 'type': 'invalid_request_error', 'code': 'model_not_found'}}
